event_id,date,status,severity,scope,summary,evidence,disposition
HLA-A0001,2026-08-20,closed,P2,authority,"Exact official edition, source closure, build, and license route were initially unbound","AUTHORITY.md","Bound official commit/tree, complete reader closure, CC BY-SA 2.5 route, and build boundary"
HLA-A0002,2026-08-20,accepted,P3,authority,"GitLab generated different ZIP bytes for the same exact commit across two official routes","AUTHORITY.md","Use commit/tree/per-file hashes as canonical; retain archive hashes only as retrieval receipts"
HLA-A0003,2026-08-20,open,P2,rights,"Embedded asy-graphtheory subtree has no license file in the pinned snapshot","AUTHORITY.md","Track separately and prove use/rights or omit from the distributable closure; do not flatten under core-text license"
HLA-A0004,2026-08-20,accepted,P3,build,"MiKTeX rejected expansion of non-scalable fonts during the first bounded smoke build","qa/build-smoke-20260820/book.log","Disable microtype expansion for the bounded diagnostic; select and document a durable build adaptation later"
HLA-A0005,2026-08-20,open,P2,build,"Bounded PDF smoke build stops at missing generated MetaPost asset gr/mp/ch1.1","qa/build-smoke-20260820/book.log","Upstream generation dependency, not translated syntax failure; reconstruct only at a proportional build boundary"
HLA-A0006,2026-08-20,open,P2,layout,"Translated notation list produces an 83.26 pt overfull hbox","qa/build-smoke-20260820/book.log","Reflow the notation surface during frontmatter visual QA without changing mathematical content"
HLA-A0007,2026-08-20,corrected_in_target,P1,source_math,"Worked reduction writes -2y-1=-5 and (3/2)z=7/2 although the prior row is -2y-z=-5; the stated solution requires (3/2)z=9/2","src/gr/gr1.tex authority lines 998-1005","Retain -z and correct 7/2 to 9/2 in the Indonesian target; formulas independently replayed"
HLA-A0008,2026-08-20,corrected_in_target,P1,source_logic,"Non-derivability answer cites a point satisfying the proposed equation but not the source system, which does not prove the claim","src/gr/gr1.tex authority lines 1366-1371","Use the source system solution (3/4,7/4), for which 5x-3y=-3/2 rather than 2"
HLA-A0009,2026-08-20,corrected_in_target,P2,source_math,"Degenerate a=c=0 case incorrectly equates nonmultiplicity of two y-equations with inconsistency","src/gr/gr1.tex authority lines 1478-1482","Classify by consistency of the y-constraints; if consistent x is free, hence infinitely many solutions"
HLA-A0010,2026-08-20,corrected_in_target,P2,source_math,"Reversibility answer omits x_1 through x_n from the transformed row equation","src/gr/gr1.tex authority line 1662","Restore (ka_i+a_j)x terms while preserving the intended row-combination proof"
HLA-A0011,2026-08-20,corrected_in_target,P2,source_logic,"Reversibility parenthetical calls i=j the required condition although the operation requires i not equal to j","src/gr/gr1.tex authority lines 1668-1683","Use i not equal to j and retain the counterexample showing failure without it"
HLA-A0012,2026-08-20,corrected_in_target,P2,source_logic,"Gauss-proof answer says the two d_i values are not equal when i=j; the actual failure is loss of the separate unchanged source row","src/gr/gr1.tex authority lines 1593-1595","State the correct reason in Indonesian and retain all surrounding equations"
